Entity,Code,Day,percentage_1dose_or_recovered_under60s,percentage_1dose_or_recovered_over60s,percentage_2doses_or_recovered_unders60s,percentage_2doses_or_recovered_over60s
Israel,ISR,2020-12-20,4.356785639,3.312265303,4.289433143,3.164568615
Israel,ISR,2020-12-21,4.544149232,4.271680081,4.333014944,3.196549107
Israel,ISR,2020-12-22,4.778541179,6.374823647,4.383082053,3.231325336
Israel,ISR,2020-12-23,5.030060655,9.583101208,4.428637071,3.267942659
Israel,ISR,2020-12-24,5.286605259,13.4804936,4.47471828,3.302991642
Israel,ISR,2020-12-25,5.424454244,15.62707336,4.520931038,3.335108512
Israel,ISR,2020-12-26,5.521839113,17.48644238,4.550555612,3.36163391
Israel,ISR,2020-12-27,5.91721931,22.71740087,4.590414609,3.391705119
Israel,ISR,2020-12-28,6.547320324,28.88827216,4.653504954,3.435550443
Israel,ISR,2020-12-29,7.300287024,35.857292,4.71841066,3.477350106
Israel,ISR,2020-12-30,8.092915399,42.40197365,4.78643405,3.520308977
Israel,ISR,2020-12-31,9.057805674,48.46851626,4.854181189,3.562790526
Israel,ISR,2021-01-01,9.549097404,51.13830779,4.9233622,3.608817888
Israel,ISR,2021-01-02,10.10074328,53.40039918,4.971824425,3.642707664
Israel,ISR,2021-01-03,11.06335778,58.78907808,5.03194179,3.684098194
Israel,ISR,2021-01-04,12.13097377,63.34824165,5.129655528,3.741376689
Israel,ISR,2021-01-05,13.01183128,67.72390948,5.226211644,3.795791258
Israel,ISR,2021-01-06,13.73618633,71.37050389,5.317005966,3.854774469
Israel,ISR,2021-01-07,14.66659791,74.81812373,5.405550819,3.910075492
Israel,ISR,2021-01-08,15.36447237,76.20685446,5.499055026,3.976218515
Israel,ISR,2021-01-09,15.85967108,76.98522829,5.55856727,4.017336291
Israel,ISR,2021-01-10,16.27612524,77.81085687,5.695916373,4.179079848
Israel,ISR,2021-01-11,16.58577571,78.24385501,5.923388904,4.943474991
Israel,ISR,2021-01-12,16.91873645,78.74599647,6.188221022,6.603255737
Israel,ISR,2021-01-13,17.54362817,79.61908438,6.492175469,9.488387126
Israel,ISR,2021-01-14,18.25290783,80.33049691,6.805417193,13.12386679
Israel,ISR,2021-01-15,18.68660792,80.70553467,6.987545182,15.15882167
Israel,ISR,2021-01-16,19.08630288,80.96362884,7.096519415,16.67683815
Israel,ISR,2021-01-17,19.92964295,81.58291846,7.420008716,21.04016382
Israel,ISR,2021-01-18,20.86218561,82.14997555,8.001187088,26.7350781
Israel,ISR,2021-01-19,21.82076159,82.7130777,8.671094479,33.02978004
Israel,ISR,2021-01-20,22.84759775,83.24174457,9.422324748,39.25717976
Israel,ISR,2021-01-21,23.7684458,83.80948355,10.35218383,45.8272276
Israel,ISR,2021-01-22,24.31427727,84.11571892,10.8173107,48.64117001
Israel,ISR,2021-01-23,24.83544351,84.34278724,11.15529657,50.6194601
Israel,ISR,2021-01-24,25.73025825,84.86886293,12.02844538,55.73006555
Israel,ISR,2021-01-25,26.8430083,85.6994011,12.98511391,60.18885538
Israel,ISR,2021-01-26,27.89668022,86.27900491,13.86289321,64.41348527
Israel,ISR,2021-01-27,28.958245,86.79376128,14.74248786,68.56876726
Israel,ISR,2021-01-28,30.04377781,87.25430765,15.73913379,72.50680012
Israel,ISR,2021-01-29,30.59147725,87.44809989,16.35588269,74.05706984
Israel,ISR,2021-01-30,31.05880097,87.58509095,16.7677853,74.94372729
Israel,ISR,2021-01-31,32.02458577,88.001792,17.29681811,76.4838369
Israel,ISR,2021-02-01,33.14226886,88.46724795,17.7107334,77.24959581
Israel,ISR,2021-02-02,34.08370416,88.91061077,18.07967248,77.92186804
Israel,ISR,2021-02-03,34.88298885,89.3087645,18.64493356,78.78950085
Israel,ISR,2021-02-04,35.85874498,89.64207078,19.32892973,79.51836969
Israel,ISR,2021-02-05,36.35727184,89.81226974,19.71060264,79.86845039
Israel,ISR,2021-02-06,36.65225472,89.89675551,19.98776079,80.05283259